study,year,citation,location,sample_age,sample_sex,dataset,study_n,sub_n,description,related_publications,pub_doi,sss,preload_used,variety,ed_manipulation,ps_manipulation,volume_manipulation,fat_manipulation,food_form,microstructure,eating_disorder,weight_loss,obesity,social_context,age,sex,race_ethnicity,ses,bmi,recall_intake,measured_intake,pre_post_meal_q,cho_intake,fat_intake,pro_intake,fiber_intake,satfat_intake,sodium_intake,food_preference,eat_duration,substance_use,current_status_q,zung,eat,edi,ei,beck,bsq,qewp-r,debq,pfs,tfeq,rise-q,cfq,aebq,cebq,upsit,birth_control,menstrual_cycle
portion_choice,2015,,Penn State,adult,mixed,,50,,,"Zuraikat FM, Roe LS, Privitera GJ, Rolls BJ. Increasing the size of portion options affects intake but not portion selection at a meal. Appetite. 2016 Mar 1;98:95-100. doi: 10.1016/j.appet.2015.12.023. Epub 2015 Dec 23. PMID: 26721718; PMCID: PMC4728005.",https://doi.org/10.1016/j.appet.2015.12.023,,,,,1,,,,,,,,,1,1,1,,1,,1,1,1,1,1,1,,,,,,,1,1,,1,,,,,,,,,,,,,
ps_cost,2015,,Penn State,adult,mixed,,79,,,"Zuraikat FM, Roe LS, Smethers AD, Reihart LW, Rolls BJ. Does the cost of a meal influence the portion size effect? Appetite. 2018 Aug 1;127:341-348. doi: 10.1016/j.appet.2018.05.020. Epub 2018 May 14. PMID: 29772292; PMCID: PMC12831231.",https://doi.org/10.1016/j.appet.2018.05.020,,,,,1,,,,,,,,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
5day_ed,2016,,Penn State,child,mixed,,49,,,"Smethers AD, Roe LS, Sanchez CE, Zuraikat FM, Keller KL, Rolls BJ. Both increases and decreases in energy density lead to sustained changes in preschool children's energy intake over 5?days. Physiol Behav. 2019 May 15;204:210-218. doi: 10.1016/j.physbeh.2019.02.042. Epub 2019 Mar 1. PMID: 30831180; PMCID: PMC6475467.",https://doi.org/10.1016/j.physbeh.2019.02.042,,,,1,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,1,1,,1,,1,,,
ps_togo,2016,,Penn State,adult,female,,53,,,"Zuraikat FM, Roe LS, Smethers AD, Rolls BJ. Doggy bags and downsizing: Packaging uneaten food to go after a meal attenuates the portion size effect in women. Appetite. 2018 Oct 1;129:162-170. doi: 10.1016/j.appet.2018.07.009. Epub 2018 Jul 7. PMID: 29990524; PMCID: PMC6092958.",https://doi.org/10.1016/j.appet.2018.07.009,,,,,1,,,,,,,,,1,1,1,1,1,,1,1,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,
5day_fv,2017,,Penn State,child,,,53,,,"Roe LS, Sanchez CE, Smethers AD, Keller KL, Rolls BJ. Portion size can be used strategically to increase intake of vegetables and fruits in young children over multiple days: a cluster-randomized crossover trial. Am J Clin Nutr. 2022 Jan 11;115(1):272-283. doi: 10.1093/ajcn/nqab321. PMID: 34550306; PMCID: PMC8755102.",https://doi.org/10.1093/ajcn/nqab321,,,,,1,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
psxsatiety,2017,,Penn State,adult,mixed,,44,,,"1) Cunningham PM, Roe LS, Keller KL, Hendriks-Hartensveld AEM, Rolls BJ. Eating rate and bite size were related to food intake across meals varying in portion size: A randomized crossover trial in adults. Appetite. 2023 Jan 1;180:106330. doi: 10.1016/j.appet.2022.106330. Epub 2022 Sep 30. PMID: 36191669.
2)Cunningham PM, Roe LS, Keller KL, Rolls BJ. Switching between bites of food and sips of water is related to food intake across meals varying in portion size. Appetite. 2023 Mar 1;182:106443. doi: 10.1016/j.appet.2022.106443. Epub 2022 Dec 26. PMID: 36581110.
3)Cunningham PM, Roe LS, Pearce AL, Keller KL, Rolls BJ. Poorer inhibitory control was related to greater food intake across meals varying in portion size: A randomized crossover trial. Appetite. 2024 Mar 1;194:107168. doi: 10.1016/j.appet.2023.107168. Epub 2023 Dec 16. PMID: 38104634; PMCID: PMC11938370.",https://doi.org/10.1016/j.appet.2022.106330; https://doi.org/10.1016/j.appet.2022.106443; https://doi.org/10.1016/j.appet.2023.107168,1,,,,1,,,,1,,,,,1,1,1,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,
veg_palitability,2018,,Penn State,child,mixed,,67,,,"Diktas HE, Roe LS, Keller KL, Sanchez CE, Rolls BJ. Promoting vegetable intake in preschool children: Independent and combined effects of portion size and flavor enhancement. Appetite. 2021 Sep 1;164:105250. doi: 10.1016/j.appet.2021.105250. Epub 2021 Apr 6. PMID: 33836215; PMCID: PMC8206024.",https://doi.org/10.1016/j.appet.2021.105250,,,,,1,,,,,,,,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,1,,,
riseq,2019,,Penn State,adult,mixed,,477,,,"Cunningham PM, Roe LS, Hayes JE, Hetherington MM, Keller KL, Rolls BJ. Development and validation of the Reasons Individuals Stop Eating Questionnaire (RISE-Q): A novel tool to characterize satiation. Appetite. 2021 Jun 1;161:105127. doi: 10.1016/j.appet.2021.105127. Epub 2021 Jan 15. PMID: 33460694.",https://doi.org/10.1016/j.appet.2021.105127,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
portion_survey,2020,,Penn State,child,mixed,,51,,,"Diktas HE, Keller KL, Roe LS, Rolls BJ. Children's Portion Selection Is Predicted by Food Liking and Is Related to Intake in Response to Increased Portions. J Nutr. 2022 Oct 6;152(10):2287-2296. doi: 10.1093/jn/nxac162. PMID: 35883226; PMCID: PMC9535443.",https://doi.org/10.1093/jn/nxac162,,,,,1,,,,,,,,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
selfserve_snack,2020,,Penn State,child,mixed,,52,,,,,,,,,1,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
