study,year,citation,location,sample_age,sample_sex,dataset,study_n,sub_n,description,related_publications,pub_doi,sss,preload_used,variety,ed_manipulation,ps_manipulation,volume_manipulation,fat_manipulation,food_form,microstructure,eating_disorder,weight_loss,obesity,social_context,age,sex,race_ethnicity,ses,bmi,recall_intake,measured_intake,pre_post_meal_q,cho_intake,fat_intake,pro_intake,fiber_intake,satfat_intake,sodium_intake,food_preference,eat_duration,substance_use,current_status_q,zung,eat,edi,ei,beck,bsq,qewp-r,debq,pfs,tfeq,rise-q,cfq,aebq,cebq,upsit,birth_control,menstrual_cycle
premier_ed,2004,,Penn State,adult,mixed,,658,,,"Ledikwe JH, Rolls BJ, Smiciklas-Wright H, Mitchell DC, Ard JD, Champagne C, Karanja N, Lin PH, Stevens VJ, Appel LJ. Reductions in dietary energy density are associated with weight loss in overweight and obese participants in the PREMIER trial. Am J Clin Nutr. 2007 May;85(5):1212-21. doi: 10.1093/ajcn/85.5.1212. PMID: 17490955.",https://doi.org/10.1093/ajcn/85.5.1212,,,,,,,,,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snack_air,2004,,Penn State,adult,mixed,,28,,,"Osterholt KM, Roe LS, Rolls BJ. Incorporation of air into a snack food reduces energy intake. Appetite. 2007 May;48(3):351-8. doi: 10.1016/j.appet.2006.10.007. Epub 2006 Dec 26. PMID: 17188782; PMCID: PMC2129127.",https://doi.org/10.1016/j.appet.2006.10.007,,,,1,,1,,,,,,,,1,1,1,,1,,1,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,
mac_ed,2005,,Penn State,child,mixed,,77,,,"Leahy KE, Birch LL, Rolls BJ. Reducing the energy density of an entrée decreases children's energy intake at lunch. J Am Diet Assoc. 2008 Jan;108(1):41-8. doi: 10.1016/j.jada.2007.10.015. PMID: 18155988.",https://doi.org/10.1016/j.jada.2007.10.015,,,,1,,,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,1,,,,,
apple_preload,2005,,Penn State,adult,mixed,,58,,,"Flood-Obbagy JE, Rolls BJ. The effect of fruit in different forms on energy intake and satiety at a meal. Appetite. 2009 Apr;52(2):416-22. doi: 10.1016/j.appet.2008.12.001. Epub 2008 Dec 6. PMID: 19110020; PMCID: PMC2664987.",https://doi.org/10.1016/j.appet.2008.12.001,,1,,,,,,1,,,,,,1,1,1,,1,,1,1,1,1,1,,,,,,,,1,1,,1,,,,,,,,,,,,,
mac_edxps,2006,,Penn State,child,mixed,,61,,,"Leahy KE, Birch LL, Fisher JO, Rolls BJ. Reductions in entrée energy density increase children's vegetable intake and reduce energy intake. Obesity (Silver Spring). 2008 Jul;16(7):1559-65. doi: 10.1038/oby.2008.257. Epub 2008 May 1. PMID: 18451770.",https://doi.org/10.1038/oby.2008.257,,,,1,1,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,
salad_timing,2006,,Penn State,adult,mixed,,51,,,,,,1,,,,,,,,,,,,1,1,1,,1,,1,1,1,1,1,,,,,,,,1,1,,1,,,,,,,,,,,,,
soup_preload,2006,,Penn State,adult,mixed,,60,,,"Flood JE, Rolls BJ. Soup preloads in a variety of forms reduce meal energy intake. Appetite. 2007 Nov;49(3):626-34. doi: 10.1016/j.appet.2007.04.002. Epub 2007 Apr 14. PMID: 17574705; PMCID: PMC2128765.",https://doi.org/10.1016/j.appet.2007.04.002,,1,,,,,,,,,,,,1,1,1,,1,,1,1,1,1,1,,,,,,,,1,1,,1,,,,,,,,,,,,,
2day_ed,2006,,Penn State,child,mixed,,26,,,"Leahy KE, Birch LL, Rolls BJ. Reducing the energy density of multiple meals decreases the energy intake of preschool-age children. Am J Clin Nutr. 2008 Dec;88(6):1459-68. doi: 10.3945/ajcn.2008.26522. PMID: 19064504.",https://doi.org/10.3945/ajcn.2008.26522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carrot_ps,2006,,Penn State,child,mixed,,51,,,"Spill MK, Birch LL, Roe LS, Rolls BJ. Eating vegetables first: the use of portion size to increase vegetable intake in preschool children. Am J Clin Nutr. 2010 May;91(5):1237-43. doi: 10.3945/ajcn.2009.29139. Epub 2010 Mar 10. PMID: 20219955; PMCID: PMC2854901.",https://doi.org/10.3945/ajcn.2009.29139,,,,,1,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
mac_ps_birch,2007,,Penn State,child,mixed,,87,,,,,,,,,1,,,,,,,,,1,1,1,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
veg_add_sub,2007,,Penn State,adult,mixed,,97,,,"Rolls BJ, Roe LS, Meengs JS. Portion size can be used strategically to increase vegetable consumption in adults. Am J Clin Nutr. 2010 Apr;91(4):913-22. doi: 10.3945/ajcn.2009.28801. Epub 2010 Feb 10. PMID: 20147467; PMCID: PMC2844679.",https://doi.org/10.3945/ajcn.2009.28801,,,,1,1,,,,,,,,,1,1,,,1,,1,1,1,1,1,1,,,1,,,,1,1,,1,,,,,,,,,,,,,
veg_variety,2007,,Penn State,adult,mixed,,66,,,"Meengs JS, Roe LS, Rolls BJ. Vegetable variety: an effective strategy to increase vegetable intake in adults. J Acad Nutr Diet. 2012 Aug;112(8):1211-5. doi: 10.1016/j.jand.2012.05.013. PMID: 22818729; PMCID: PMC3418806.",https://doi.org/10.1016/j.jand.2012.05.013,,,1,,,,,,,,,,,1,1,1,,1,2,1,1,1,1,1,1,,,1,,,,,1,,1,,,,,,,,,,,,,
chef_ed,2008,,Penn State,adult,mixed,,432,,,"Obbagy JE, Condrasky MD, Roe LS, Sharp JL, Rolls BJ. Chefs' opinions about reducing the calorie content of menu items in restaurants. Obesity (Silver Spring). 2011 Feb;19(2):332-7. doi: 10.1038/oby.2010.188. Epub 2010 Sep 2. PMID: 20814414; PMCID: PMC3035041.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit_veg_ps,2008,,Penn State,child,mixed,,43,,,"Kral TV, Kabay AC, Roe LS, Rolls BJ. Effects of doubling the portion size of fruit and vegetable side dishes on children's intake at a meal. Obesity (Silver Spring). 2010 Mar;18(3):521-7. doi: 10.1038/oby.2009.243. Epub 2009 Aug 13. PMID: 19680238.",https://doi.org/10.1038/oby.2009.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veg_variety,2008,,Penn State,child,mixed,,13,,,,,,,1,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,
